start_date,end_date,finished,condition,subject,gender,age,mood_pre,mood_post,STAI_pre_1_1,STAI_pre_1_2,STAI_pre_1_3,STAI_pre_1_4,STAI_pre_1_5,STAI_pre_1_6,STAI_pre_1_7,STAI_pre_2_1,STAI_pre_2_2,STAI_pre_2_3,STAI_pre_2_4,STAI_pre_2_5,STAI_pre_2_6,STAI_pre_2_7,STAI_pre_3_1,STAI_pre_3_2,STAI_pre_3_3,STAI_pre_3_4,STAI_pre_3_5,STAI_pre_3_6,STAI_post_1_1,STAI_post_1_2,STAI_post_1_3,STAI_post_1_4,STAI_post_1_5,STAI_post_1_6,STAI_post_1_7,STAI_post_2_1,STAI_post_2_2,STAI_post_2_3,STAI_post_2_4,STAI_post_2_5,STAI_post_2_6,STAI_post_2_7,STAI_post_3_1,STAI_post_3_2,STAI_post_3_3,STAI_post_3_4,STAI_post_3_5,STAI_post_3_6,moral_dilemma_dog,moral_dilemma_wallet,moral_dilemma_plane,moral_dilemma_resume,moral_dilemma_kitten,moral_dilemma_trolley,moral_dilemma_control,presentation_experience,presentation_unpleasant,presentation_fun,presentation_challenge,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,REI_1,REI_2,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_33,REI_34,REI_35,REI_36,REI_37,REI_38,REI_39,REI_40,MAIA_1_1,MAIA_1_2,MAIA_1_3,MAIA_1_4,MAIA_1_5,MAIA_1_6,MAIA_1_7,MAIA_1_8,MAIA_1_9,MAIA_1_10,MAIA_1_11,MAIA_1_12,MAIA_1_13,MAIA_1_14,MAIA_1_15,MAIA_1_16,MAIA_2_1,MAIA_2_2,MAIA_2_3,MAIA_2_4,MAIA_2_5,MAIA_2_6,MAIA_2_7,MAIA_2_8,MAIA_2_9,MAIA_2_10,MAIA_2_11,MAIA_2_12,MAIA_2_13,MAIA_2_14,MAIA_2_15,MAIA_2_16,STAI_pre,STAI_post,MAIA_noticing,MAIA_not_distracting,MAIA_not_worrying,MAIA_attention_regulation,MAIA_emotional_awareness,MAIA_self_regulation,MAIA_body_listening,MAIA_trusting,PBC,REI_rational_ability,REI_rational_engagement,REI_experiental_ability,REI_experiental_engagement,moral_judgment,moral_judgment_disgust,moral_judgment_non_disgust,presentation_evaluation,logbook,exclude
11/3/2014,11/3/2014,1,control,2,female,24,81,,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,9,9,8,7,9,5,9,,,,,3,3,5,5,5,5,4,5,4,4,5,3,4,3,4,5,5,3,4,4,4,3,5,1,3,5,3,4,2,3,5,5,3,3,4,3,3,4,3,4,3,4,4,4,4,2,4,4,4,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,32,,14,6,11,27,20,16,10,12,21,38,38,36,39,8,8.666666666666666,7,,,0
11/3/2014,11/3/2014,1,stress,1,female,19,59,42,3,2,3,1,3,2,3,3,2,2,2,2,3,1,3,3,3,2,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,1,2,2,3,2,3,3,9,9,9,8,9,3,2,2,63,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,51,,,,,,,,,,,,,,7,9,6.666666666666667,3,,0
11/3/2014,11/3/2014,1,stress,3,female,19,22,60,4,3,3,3,4,2,3,4,2,3,4,4,4,2,4,3,2,3,4,4,3,3,2,2,2,1,1,3,1,3,3,1,1,1,3,3,1,1,3,3,8,7,8,5,8,5,9,1,68,26,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,41,,,,,,,,,,,,,,7.142857142857143,8,5.666666666666667,3,,0
11/3/2014,11/3/2014,1,stress,4,female,22,53,68,2,2,2,2,3,1,1,3,1,3,3,1,1,2,3,3,2,1,3,3,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,1,3,2,8,4,8,6,9,2,8,2,32,59,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,32,,,,,,,,,,,,,,6.428571428571429,8.333333333333334,4,4,,0
11/3/2014,11/3/2014,1,control,7,female,22,48,,1,1,1,1,2,1,1,3,1,3,3,1,1,1,1,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,3,9,9,5,5,4,8,,,,,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,,12,9,9,21,15,12,9,9,14,31,,30,30,6.142857142857143,5.666666666666667,6,,,0
11/3/2014,11/3/2014,1,stress,6,female,22,73,73,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,3,3,9,9,9,9,8,5,6,2,63,54,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,,,,,,,,,,,,,,7.857142857142857,8.666666666666666,7.666666666666667,4,,0
11/3/2014,11/3/2014,1,control,5,female,18,,,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,9,5,7,3,6,3,8,,,,,3,3,3,5,5,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,2,4,5,4,4,5,1,2,4,2,4,4,3,4,3,4,3,5,4,4,4,4,3,4,4,4,5,2,2,4,3,5,4,1,2,3,2,3,2,3,4,3,4,4,5,3,3,4,2,3,2,3,3,4,4,32,,17,8,12,16,20,12,8,11,19,37,26,43,40,5.857142857142857,7.333333333333333,3.6666666666666665,,,0
11/3/2014,11/3/2014,1,control,9,male,20,100,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,9,4,1,7,9,1,7,,,,,1,4,1,4,4,4,5,5,5,5,5,5,5,3,4,5,4,2,2,4,4,4,5,3,5,5,3,5,5,3,5,1,3,4,4,5,1,4,4,5,4,3,4,3,5,3,4,4,4,5,2,3,5,6,2,3,3,5,5,4,5,5,5,2,4,4,4,2,3,4,4,3,0,3,4,4,4,21,,15,10,13,30,19,13,6,12,14,38,41,43,38,5.428571428571429,6.333333333333333,4,,,0
11/3/2014,11/3/2014,1,stress,16,female,21,67,74,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,6,9,3,9,9,1,8,2,14,78,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,,,,,,,,,,,,,,6.428571428571429,6,6.333333333333333,4,,0
11/3/2014,11/3/2014,1,stress,13,female,19,30,68,4,2,3,3,3,1,3,4,2,3,4,3,3,1,4,3,3,3,4,4,2,2,1,2,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,3,6,8,9,8,9,9,6,2,54,42,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,38,,,,,,,,,,,,,,7.857142857142857,8,8.333333333333334,3,,0
11/3/2014,11/3/2014,1,stress,18,female,19,55,57,2,3,1,1,2,1,1,3,1,2,3,1,1,2,2,2,1,1,2,2,2,2,2,1,3,3,1,3,1,3,3,1,2,2,3,4,1,2,3,3,8,7,9,5,8,2,7,2,82,7,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,45,,,,,,,,,,,,,,6.571428571428571,8.333333333333334,4.666666666666667,3,,0
